osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,defibrillator:location,description,emergency,emergency:phone,id,indoor,latitude,level,longitude,name,opening_hours,opening_hours:note,operator,phone,source,website,wheelchair
5036047322,node,47.4475817,9.5087004,yes,Grub AR,315,9035,Dorf,school,Beim Schulhauseingang / an der Hauptstrasse,,defibrillator,144,node/5036047322,no,,,,Schule Grub AR,24/7,,Gemeinde Grub AR,+41 71 891 17 50,,https://schule.grub.ch/,
7721321841,node,47.3275612,9.2276502,yes,,,,,,Haupteingang MZA,,defibrillator,144,node/7721321841,no,,,,,24/7,,Gemeinde Schönengrund,+41 71 361 18 18,,,
7724074016,node,47.2561768,9.3082778,yes,,,,,,"Kleines Holzgebäude gegenüber Passhöhe Kreuzung, Rechts unter Vordach",Öffentlich zugänglich,defibrillator,144,node/7724074016,,,,,,24/7,,,,,,
7727095743,node,47.3542957,9.2470872,yes,,,,,,Gemeindeverwaltung,,defibrillator,144,node/7727095743,,,,,,,,,,,,
7727112233,node,47.3904345,9.3943378,yes,,,,,,"Längliches Holzgebäude, Kiosk neben Sportplatz, An der Wand",Öffentlich zugänglich,defibrillator,144,node/7727112233,no,,,,,24/7,,Gemeinde,+41794554973,,,
7813190775,node,47.3893105,9.3914437,private,,,,,,Der Defi befindet sich im Eingangsbereich in einem Notfallschrank mit dem Rettungszeichen versehen.,während Öffnungszeiten verfügbar,defibrillator,144,node/7813190775,yes,,,,,,,update Fitness,,,,
7865079872,node,47.4274068,9.4822392,yes,,,,,,UG rechts vor grossem Saal,während Öffnungszeiten verfügbar,defibrillator,144,node/7865079872,,,,,,,,,,,,
7865178337,node,47.3732597,9.3447421,permissive,,,,,,"Go through main entrance, turn left, go through second glass door. It is just to your right, wall mounted. Beim Foyer an Wand rechts bei Glasschiebetüre",,defibrillator,144,node/7865178337,yes,,,,,May-Oct: Mo-Su 09:00-18:30; Nov-Apr: Mo-Su 09:00-17:30,December 25th closed,,,,,yes
7865216843,node,47.4467947,9.5967199,yes,,,,,,Schwimmbadeingang vis-a-vis Kasse,AED ist 24h verfügbar,defibrillator,144,node/7865216843,,,,,,24/7,,,,,,
7933385452,node,47.3625874,9.4537749,yes,,,,,,An der Hauswand des Blumenladen,Öffentlich zugänglich,defibrillator,144,node/7933385452,no,,,,,24/7,,,,,,
7933385453,node,47.3600011,9.4543254,yes,,,,,,Vor dem Haupteingang rechts,Öffentlich zugänglich,defibrillator,144,node/7933385453,no,,0,,,24/7,,Gemeinde,+41 71 791 80 83,,,
7933574723,node,47.4464147,9.53668,yes,,,,,,Diensteingang Lokremise,während Öffnungszeiten verfügbar,defibrillator,144,node/7933574723,,,,,,,,,,,,
7933667789,node,47.392303,9.2800409,yes,,,,,,Über den Haupteingang oberster Stock,während Öffnungszeiten verfügbar,defibrillator,144,node/7933667789,,,,,,,,,,,,
7933667790,node,47.3858524,9.2793837,yes,,,,,,Kirchgemeinde,während Öffnungszeiten verfügbar,defibrillator,144,node/7933667790,,,,,,,,,,,,
7933697359,node,47.3579025,9.3131903,yes,,,,,,Im Schulhaus,während Öffnungszeiten verfügbar,defibrillator,144,node/7933697359,,,,,,,,,,,,
7933782372,node,47.2558728,9.3088062,yes,,,,,,bei Truppenunterkunft,,defibrillator,144,node/7933782372,,,,,,24/7,,,,,,
7933782681,node,47.2565018,9.3186754,yes,,,,,,Haupteingang Erdgeschoss Hotel,,defibrillator,144,node/7933782681,yes,,0,,,Mo-Su 07:00-22:00,,LSS,+41 71 365 66 66,,,limited
7933865232,node,47.4125497,9.4403471,yes,,,,,,Ärztezentrum Linde beim Empfang,während Öffnungszeiten verfügbar,defibrillator,144,node/7933865232,yes,,,,,,,Ärztezentrum Linde,,,,
7933865233,node,47.4077267,9.4466516,yes,,,,,,Mobiliar Versicherung,während Öffnungszeiten verfügbar,defibrillator,144,node/7933865233,,,,,,,,,,,,
7933881642,node,47.4081523,9.4650715,yes,,,,,,MFK: Er hängt an der Wand im Erdgeschoss hinten links vor der Treppe.,,defibrillator,144,node/7933881642,,,,,,"Mo-Fr 07:30-12:00, 13:30-17:00",,"Amt für Immobilien, Obstmarkt 1, Herisau",+41 71 353 65 82,,,
7933908932,node,47.4512685,9.60329,yes,,,,,,MZA,24h frei zugänglich,defibrillator,144,node/7933908932,no,,,,,24/7,,,,,,
7933908933,node,47.3573311,9.2840803,yes,,,,,,Feuerwehr im TLF,während Öffnungszeiten verfügbar,defibrillator,144,node/7933908933,,,,,,,,,,,,
7933908935,node,47.3177131,9.2873928,yes,,,,,,beim Haupteingang,während Öffnungszeiten verfügbar,defibrillator,144,node/7933908935,yes,,,,,,,,,,,
7954053185,node,47.3858939,9.280556,,,,,,,,,defibrillator,144,node/7954053185,yes,,,,,"Mo-Fr 08:30-12:00,13:30-17:00",,,,,,
7959269201,node,47.4088425,9.4733714,yes,,,,,,bei Stiftung Helimission e.V. gegenüber Eingang Büro,,defibrillator,144,node/7959269201,,,,,,24/7,,Helimission,,,,
7959510897,node,47.3898892,9.2897036,yes,,,,,,Beim Eingang der Sporthalle links im Gang an der Wand in ca 1.8 m Höhe im grünen Kasten.,,defibrillator,144,node/7959510897,yes,,0,,,Mo-Fr 09:00-22:00; Sa-Su 09:00-18:00; PH open,,,,,,no
8382783717,node,47.3899247,9.2760528,yes,,,,,,Perron Gleis 1,,defibrillator,144,node/8382783717,no,,,,,24/7,,SOB,+41 58 580 70 70,,,
8382783718,node,47.3906211,9.278423,yes,,,,,,Korridor EG,nur während Bürozeiten verfügbar,defibrillator,144,node/8382783718,yes,,,,,,,SOB,+41 58 580 70 70,,,
8382783719,node,47.3897357,9.2757821,yes,,,,,,Sitzungszimmer Säntis,nur während Büroöffnungszeiten verfügbar,defibrillator,144,node/8382783719,yes,,,,,,,SOB,+41 58 580 70 70,,,
8529631396,node,47.386856,9.2839222,,,,,,,,,defibrillator,144,node/8529631396,yes,,,,,24/7,,,,,,
8557314142,node,47.4404964,9.5325346,,,,,,,Beim Empfang im Erdgeschoss,,defibrillator,144,node/8557314142,yes,,,,,24/7,,Sefar AG,+41 71 898 58 88,,,
8557335054,node,47.384588,9.2780694,yes,,,,,,AED im Eingangsbereich,,defibrillator,144,node/8557335054,yes,,,,,"Mo-Fr 08:00-23:00, Sa 09:00-23:00",,,,,,
8569916017,node,47.4157887,9.492073,yes,,,,,,"Schulhaus Wald, Eingang Turnhalle","Der Defibrillator ist rund um die Uhr von aussen, vor dem Eingang der Turnhalle zugänglich. ",defibrillator,144,node/8569916017,no,,,,,24/7,,Gemeinde Wald,,,,
