osm_id,osm_type,lat,lon,access,access:conditional,addr:city,addr:housenumber,addr:place,addr:postcode,addr:street,brand,check_date,colour,covered,defibrillator:location,defibrillator:location:en,description,emergency,emergency:phone,fixme,id,indoor,level,location,locked,manufacturer,name,opening_hours,operator,outdoor,panoramax,phone,recycling:cans,recycling:clothes,recycling:coffee_capsules,recycling:glass,recycling:glass_bottles,recycling:paper,recycling:shoes,recycling:waste,ref,source,survey:date,wheelchair
357181864,node,46.4118664,8.1017062,yes,,,,,,,,2024-07-24,,,Belle Vista eingang - gegenüber Hotel Jungfrau.,,,defibrillator,144,,node/357181864,,1,"Treppen hoch zum der Belle Vista Eingang, gegenüber der Hotel Jungfrau.",,,,24/7,,,,,,,,,,,,,,,,no
442135045,node,46.0193273,7.7460552,yes,,,,,,,,,,,On wall outside building / An Aussenwand,,,defibrillator,144,,node/442135045,no,0,,,,,24/7,,,25dadc45-42f2-452a-b181-ae08c8e5cc58,,,,,,,,,,,,,yes
3993151059,node,46.3908974,8.0636058,yes,,,,,,,,,,,,,,defibrillator,144,,node/3993151059,yes,,,,,,24/7,,,,,,,,,,,,,,,,
4011377616,node,46.3404511,7.633475,,,,,,,,,,,,Im Eingangsbereich links an der Wand.,,,defibrillator,144,,node/4011377616,yes,,,,,,,,,,,,,,,,,,,,,,
4011377622,node,46.3796532,7.6267375,,,,,,,,,,,,,,,defibrillator,144,,node/4011377622,yes,,,,,,,,,,,,,,,,,,,,,,
4393108726,node,46.4111655,7.7743446,,,,,,,,,,,,Neben der Kasse,,,defibrillator,144,,node/4393108726,no,,,,,,,,,,,,,,,,,,,,,,
4793510704,node,46.5059999,8.3093992,,,,,,,,,,,,an der Aussenwand neben der Tourist-Information und der Ladestation für Elektrofahrzeuge,,,defibrillator,144,,node/4793510704,no,,,,,,24/7,,,,,,,,,,,,,,,,
5013618784,node,46.0894706,7.0970107,,,,,,,,,,,,,,,defibrillator,144,,node/5013618784,,,,,,,,,,,,,,,,,,,,,,,
5021724835,node,46.3139409,7.7814809,,,,,,,,,,,,,,,defibrillator,144,,node/5021724835,,,,,,,,,,,,,,,,,,,,,,,
5038382251,node,46.3121476,7.7842571,,,,,,,,,,,,,,,defibrillator,144,,node/5038382251,,,,,,,,,,,,,,,,,,,,,,,
5038382252,node,46.3105658,7.7906659,,,,,,,,,,,,,,,defibrillator,144,,node/5038382252,,,,,,,,,,,,,,,,,,,,,,,
5049932224,node,46.2930714,7.7135607,,,,,,,,,,,,,,,defibrillator,144,,node/5049932224,,,,,,,,,,,,,,,,,,,,,,,
5155762989,node,46.5334145,8.3509259,,,,,,,,,,,,,,,defibrillator,144,,node/5155762989,,,,,,,,,,,,,,,,,,,,,,,
5168993421,node,46.0172917,7.7700962,,,,,,,,,,,,,,,defibrillator,144,,node/5168993421,,,,,,,,,,,,,,,,,,,,,,,
5314952023,node,46.3746721,8.2918675,,,,,,,,,,,,,,,defibrillator,144,,node/5314952023,,,,,,,,,,,,,,,,,,,,,,,
5409196565,node,46.1437417,7.1255545,,,,,,,,,,,,,,,defibrillator,144,,node/5409196565,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,,,,
5412526955,node,46.3921846,8.0642277,,,,,,,,,,,,AED an Aussenmauer bei Eingang,,AED an Aussenmauer bei Eingang,defibrillator,144,,node/5412526955,no,,,,,,24/7,,,,,,,,,,,,,,,,
5484264049,node,46.3863053,8.0578738,yes,,,,,,,,,,,Rechts von Türe/Eingang Betten Dorf Bahn,,,defibrillator,144,,node/5484264049,no,,,,,,,,,84c85e0c-0230-42c0-9b7f-57b8c9c22c5b,,,,,,,,,,,,,
5487200131,node,46.0824869,6.9744539,,,,,,,,,,,,,,,defibrillator,144,,node/5487200131,,,,,,,,,,,,,,,,,,,,,,,
5827567522,node,46.3983974,8.1313448,,,,,,,,,,,,,,,defibrillator,144,,node/5827567522,,0,,,,,,,,,,,,,,,,,,,,,
5959611201,node,46.3142471,7.8506282,,,,,,,,,,,,,,,defibrillator,144,,node/5959611201,,,,,,,,,,,,,,,,,,,,,,,
5960695148,node,46.3129467,7.8194204,,,,,,,,,,,,,,,defibrillator,144,,node/5960695148,,,,,,,,,,,,,,,,,,,,,,,
6167968547,node,46.2066974,7.8676078,yes,,,,,,,,,,,"Ausgang Gondelbahn, Wand bergseitig",,,defibrillator,144,,node/6167968547,no,0,,,,,24/7,,,,,,,,,,,,,,,2025-12-22,
6176739377,node,46.356499,8.0461872,,,,,,,,,,,,"Gondelbahn Eingang, Aussenwand",,,defibrillator,144,,node/6176739377,no,,,,,,24/7,,,,,,,,,,,,,,,,
6284465304,node,46.5135933,8.3264864,yes,,,,,,,,,,,Raiffeisenbank,,Rechts neben Eingang der Bank,defibrillator,144,,node/6284465304,no,,,,,,24/7,,,,,,,,,,,,,,,,
6402924824,node,46.0217895,7.7482141,,,,,,,,,,,,Kassenbereich Migros,,,defibrillator,144,,node/6402924824,,,,,,,,,,,,,,,,,,,,,,,
