osm_id,osm_type,lat,lon,access,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,check_date,contact:email,contact:phone,contact:website,defibrillator:location,description,description:de,description:en,email,emergency,emergency:phone,fixme,id,indoor,latitude,level,location,longitude,name,opening_hours,operator,operator:type,outdoor,phone,ref,source,website,wheelchair
697250228,node,47.1611969,7.5081349,yes,,,,,,,,,,,An Wand seitlich vom Eingang,,,,,defibrillator,144,,node/697250228,,,,,,,24/7,,,,,,survey,,yes
4171975608,node,47.266444,7.541752,yes,,,,,,,,,,,,,,,,defibrillator,144,,node/4171975608,,,0,,,,24/7,Seilpark Balmberg,,,+41 32 637 14 14,,,https://seilpark-balmberg.ch,
4745088306,node,47.1814942,7.5565722,,,,,,,,,,,,,,,,,defibrillator,144,,node/4745088306,,,,,,,,,,,+41 32 671 12 12,,,,
5522790039,node,47.1981005,7.523567,,,,,,,,,,,,"Draussen, an der Wand neben dem Aufenthaltsraum. Ist beleuchtet.",,,,,defibrillator,144,,node/5522790039,no,,,,,,,,,,,,,,
6020113648,node,47.4764153,7.4902585,,,,,,,,,,,,,,,,,defibrillator,144,,node/6020113648,,,,,,,,,,,,,,,
6228897704,node,47.3326356,7.8438272,,Hägendorf,,11,4614,Bachstrasse,library,,bibliothek@haegendorf.ch,+41 78 926 25 48,http://www.haegendorf.ch/de/vereinekultur/bibliothek/,Gangbereich vor Küchennische,während Öffnungszeiten verfügbar,,,,defibrillator,144,,node/6228897704,yes,,,,,Gemeindebibliothek,,Gemeinde Hägendorf;Einwohnergemeinde Hägendorf,public,,+41 62 209 17 12,,,,
6532311690,node,47.1962282,7.6098072,permissive,,,,,,,,,,,Beim Empfang VSL Schweiz,,,,,defibrillator,144,,node/6532311690,,,,,,,Mo-Fr 07:30-17:00,VSL Schweiz AG,,,+41 58 456 30 40,,,,
6532311692,node,47.2163944,7.6119556,permissive,Deitingen,,22,4543,Grabmattstrasse,,,,,,Im Clubhaus des FC Deitingen,,,,,defibrillator,144,,node/6532311692,yes,,,,,,unknown,Einwohnergemeinde Deitingen,,,,,,,
6532311693,node,47.2116098,7.6213811,permissive,Deitingen,,10,4543,Schulhausstrasse,,,,,,"In der Zweienhalle, Im Eingangsbereich",,,,,defibrillator,144,,node/6532311693,yes,,,,,,,Einwohnergemeinde Deitingen,,,+41 76 570 1579,,,,
6532311694,node,47.212281,7.619284,yes,Deitingen,,1,4543,Wangenstrasse,,,,,,Aussen beim Gemeindehaus,,,,,defibrillator,144,,node/6532311694,,,,,,,24/7,Einwohnergemeinde Deitingen,,yes,+41 76 570 1579,,,,
6532327368,node,47.1708655,7.6711825,yes,Burgäschi,,26,4556,Hauptstrasse,,,,,,"neben Restaurant, bei Eingang Srandbad",,,,,defibrillator,144,,node/6532327368,,,,,,,24/7,Strandbad Burgäshisee,,,+41 62 955 70 80,,,,
6546027575,node,47.3479338,7.9080043,yes,,,,,,,2025-03-18,,,,Seiteneingang Fachhochschule Nordwestschweiz FHNW,,,,,defibrillator,144,,node/6546027575,yes,,0,,,,Mo-Fr 07:00-21:00; Sa 07:00-18:00,Fachhochschule Nordwestschweiz FHNW,,,+41 84 882 10 11,,,,yes
6611866878,node,47.1573599,7.646601,yes,,,,,,,,,,,,,,,,defibrillator,144,,node/6611866878,,,,outdoor,,,,,,,,,,,
6629821167,node,47.2081866,7.5615515,permissive,Zuchwil,,14,4528,Industriestrasse,,,,,,Hinter Fronttüre im Treppenhaus,,,,,defibrillator,144,,node/6629821167,,,,,,,Mo-Fr 07:30-18:00,DePuy Synthes,,,+41 32 720 7972,,,,
6629821168,node,47.2163204,7.6129967,permissive,Deitingen,,22,4543,Grabmattstrasse,,,,,,"Clubhaus FC Deitingen, nur während des Trainings und der Spiele verfügbar",,,,,defibrillator,144,,node/6629821168,,,,,,,,Einwohnergemeinde Deitingen / Im Clubhaus des FC Deitingen,,,+41 76 570 1579,,,,
6715019540,node,47.3512779,7.9102246,yes,,,,,,,2025-03-19,,,,Auf der linken Seite des Eingangs,,,,,defibrillator,144,,node/6715019540,,,0,,,,24/7,,,,,,,http://defibrillator.ch/,yes
6721750676,node,47.1796096,7.6589651,yes,,,,,,,,,,,,,,,,defibrillator,144,,node/6721750676,,,,,,,,Gemeinde Aeschi,,,+41 62 9557080,,,,yes
7281021204,node,47.3515682,7.9073316,yes,,,,,,,,,,,Martin-Disteli-Unterführung Bahnhof Olten,In Unterführung,,,,defibrillator,144,,node/7281021204,yes,,-1,,,,24/7,,,,,,,,yes
7533067856,node,47.4660265,7.4662965,,,,,,,,,,,,,,,,,defibrillator,144,,node/7533067856,,,,,,,,,,,,,,,
7554709700,node,47.2342759,7.6145503,private,,,,,,,,,,,,,,,,defibrillator,144,,node/7554709700,,,,,,,"Mo-Tu 06:45-11:45, 12:45-17:00;Fr 06:45-11:45, 12:45-16:30;PH off",,,,,,,,
7603591726,node,47.1791287,7.5606357,yes,,,,,,,,,,,an Aussenwand,,,,,defibrillator,144,,node/7603591726,no,,,,,,,,,,,,,,
7633181489,node,47.4764112,7.4903098,,,,,,,,,,,,,,,,,defibrillator,144,,node/7633181489,,,,,,,,,,,,,,,
7797505793,node,47.1195776,7.4394354,yes,,,,,,,,,,,,,,,,defibrillator,144,,node/7797505793,,,,,,,24/7,Gemeinde,,,,,,,
7862924003,node,47.4562708,7.6395363,,,,,,,,,,,,,,,,,defibrillator,144,,node/7862924003,no,,,,,,,,,,,,,,
7892371822,node,47.1960338,7.4155104,,Bettlach,,52,2544,Bielstrasse,,,,,,An der Wand im Treppenhaus auf Boden-/Eingangsstockwerk.,,,,,defibrillator,144,,node/7892371822,,,,,,,08:00-17:00,,,,,,,,
